MOVIE NAME,IMDB RATING (out of 10)
Iola's Promise,5.8
Jean Intervenes,3.6
"The Guerrillas of Algiers; or, The Mosque in the Desert",5.9
The Jewels,6.2
Judith,7.8
Just Like a Woman,5.7
A Juvenile Love Affair,5.0
Kaintuck,6.0
Katchem Kate,4.4
Kentucky Girl,5.2
King of the Coiners,5.6
Kings of the Forest,4.1
Behind Comedy's Mask,5.9
Lady Audley's Secret,4.0
The Lady of the Lake,6.2
The Laurel Wreath of Fame,7.7
The Law of the West,5.6
Leap Year Proposals,4.5
The Legend of Sleepy Hollow,5.2
Leiria,4.3
Lena and the Geese,4.6
The Lesser Evil,8.6
The Letter with the Black Seals,5.2
Life of Villa,6.0
Light After Darkness,7.5
The Lighthouse Keeper's Daughter,6.7
Like Knights of Old,5.3
Lincoln's Gettysburg Address,6.3
The Little Bride of Heaven,6.3
The Little Organ Player of San Juan,6.0
The Little Wooden Soldier,5.0
The Little Woolen Shoe,4.8
The Loan Shark,4.6
El lobo de la sierra,8.5
Locked Out,6.1
The Locket,7.8
A Lodging for the Night,5.7
Lord Browning and Cinderella,6.7
The Lord and the Peasant,6.7
The Lost Address,6.0
The Love Test,5.9
Love on Tough Luck Ranch,5.5
The International Spies,7.9
Lucha de corazones,7.0
Lucile,6.2
Lure of the Violin,6.9
The Lust for Gold,7.0
Today and Tomorrow,6.3
Mabel's Adventures,7.4
Mabel's Lovers,7.5
Mabel's Stratagem,7.0
The Might of Gold,6.4
La madre,5.4
Magda,4.3
The Magic Wand,6.6
The Mail Order Wife,4.9
Making Good,6.1
Making Uncle Jealous,6.4
La malle au mariage,4.2
A Man's Duty,8.2
Man's Genesis,6.1
Man's Lust for Gold,6.9
The Marauders,9.0
Marocco en het Vreemdelingenlegioen,5.8
Martin Chuzzlewit,4.4
Le martyre de Saint Étienne,6.0
Maskierte Liebe,5.7
The Mask of Horror,7.8
The Massacre,6.0
Master and Pupil,6.4
A Matinee Mix-Up,3.6
A Matter of Business,7.3
Max's Tragedy,6.7
"Max, professeur de tango",9.0
The Melody of Love,5.4
The Mender of Nets,5.4
The Merchant of Venice,4.6
A Mexican Tragedy,6.2
A Midnight Elopement,4.9
The Midnight Wedding,7.0
The Mighty Dollar,6.7
A Militant Suffragette,7.1
The Millionaire Vagabonds,6.3
The Mind Cure,5.3
The Minstrel King,5.3
Mirele Efros,8.0
De molens die juichen en weenen,5.6
The Money Kings,5.6
Monte Cristo,5.5
"Montseny, Viladrau y Tordera",5.0
Mor och dotter,5.6
The Mormon,4.7
La mort du duc d'Enghien,7.3
The Mother of the Ranch,3.5
Mr. Fix-It,6.2
Mr. Grouch at the Seashore,6.8
Mr. Pickwick's Predicament,6.9
Mrs. 'Enry 'Awkins,7.6
The Musketeers of Pig Alley,5.2
My Baby,6.3
My Hero,5.1
The Mystery of the Glass Coffin,5.8
"Napatia, the Greek Singer",6.3
The Narrow Road,2.8
Neighbors,8.0
Neptune's Daughter,5.7
The New Member of the Life Saving Crew,4.5
The New Neighbor,5.7
The New York Hat,5.8
The Night Before Christmas,7.2
The Non-Commissioned Officer,5.8
The Nurse,5.7
Le nègre blanc,7.8
"Ofia, the Woman Spy",6.2
"Oh, Such a Night!",6.7
"Oh, Those Eyes",5.4
"Oh, You Ragtime!",7.6
The Old Actor,5.9
The Old Bookkeeper,6.6
The Old Guitar,6.2
The Old Reporter,5.6
Old Songs and Memories,6.0
Oliver Twist,5.1
Oliver Twist,6.9
On Donovan's Division,5.2
"One Is Business, the Other Crime",6.3
The One She Loved,4.4
Only a Woman,5.9
Out of the Depths,5.9
An Outcast Among Outcasts,6.8
The Outlaw's Sacrifice,6.2
Over a Cracked Bowl,6.0
The Painted Lady,5.7
The Painter and the Peasant,5.0
A Pair of Baby Shoes,5.7
A Pair of Fools,6.1
Pals,6.8
Partners for Life,4.9
The Passer-by,6.0
The Passing Shadow,7.6
Passion,6.2
Pat's Day Off,5.3
Paul J. Rainey's African Hunt,5.0
Pedro's Dilemma,6.1
The Penitent,5.8
The Peril of the Cliffs,7.3
Petticoat Camp,6.8
The Minister's Daughter,5.3
La pierre philosophe,6.8
Los Pirineos de Port-Bou a Andorra,5.1
The Plot That Failed,6.8
The Pony Express Girl,5.7
The Power of Love,4.7
The Power of a Hymn,5.8
A Prize Package,7.1
The Prodigal Daughter,6.0
The Prodigal Son,5.0
The Prospector,6.6
A Pueblo Legend,5.7
The Punishment,5.7
A Question of Seconds,6.6
Quincy Adams Sawyer,5.3
Quo Vadis?,5.5
Race for a Life,6.4
A Race with Time,5.7
A Railroad Lochinvar,4.8
The Railway of Death,5.1
The Ranch Girl's Trial,5.5
The Raven,6.7
The Independence of Romania,6.8
The Reckoning,5.4
A Reconstructed Rebel,7.1
Red Wing and the Paleface,5.5
The Redemption of 'Greek Joe',5.6
Revenge of the Silk Masks,5.6
Orozquista Revolution,4.5
The Reward for Broncho Billy,5.9
The Reward of Valor,4.7
The Life and Death of King Richard III,5.3
Riley and Schultz,5.5
Rip Van Winkle,5.8
The Rivals,4.8
Robin Hood,4.2
Romance of the Rails,7.0
"Romani, the Brigand",6.1
Romería a Begas,5.7
The Root of Evil,6.3
A Sailor's Heart,4.7
Sally Ann's Strategy,6.1
"Sammy Orpheus; or, the Pied Piper of the Jungle",3.8
The Sands of Dee,6.2
Saty delaji cloveka,5.9
Saved from the Titanic,6.0
Saved from Court Martial,4.7
Specter of the Sea,4.8
The School Teacher and the Waif,5.4
Seal Hunting in Newfoundland,7.1
A Seaside Comedy,6.8
The Secret Service Man,6.6
His Sense of Duty,5.9
The Sergeant's Boy,5.2
The Seventh Son,5.7
Sheridan's Ride,5.4
The Sheriff's Inheritance,6.1
The Sheriff's Luck,7.0
The Shotgun Ranchman,6.3
The Siege of Petersburg,4.7
Silent Jim,7.0
The Sin of a Woman,6.0
A Siren of Impulse,6.1
A Sister's Love,7.1
The Sketch with the Thumb Print,5.9
The Skinflint,5.1
The Smuggler's Daughter,6.4
"So Near, Yet So Far",6.5
The Soldier Brothers of Susanna,6.8
Song of the Shell,7.1
The Black Chancellor,6.8
A Spanish Dilemma,6.2
The Spanish Revolt of 1836,7.4
The Spirit Awakened,5.3
The Star of Bethlehem,5.4
Stenographers Wanted,5.7
Stolen Glory,6.3
The Stolen Nickel,6.4
The Stranger at Coyote,4.2
The Street Singer,6.5
A String of Pearls,7.3
Los sueños de Palomeque,6.5
The Sunbeam,6.6
The Sunset Gun,5.2
Saved in Mid-Air,6.5
Dr. Goudron's System,6.0
A Tale of the Wilderness,6.1
Talma,6.7
A Tangled Marriage,7.5
The Telephone Girl,5.8
A Temperamental Husband,7.6
A Temporary Truce,6.1
The Third Thanksgiving,3.9
Thirty Days at Hard Labor,5.7
The Tide of Battle,6.5
The Tide of Death,7.1
The Tide of Fortune,3.6
To Save Her Brother,7.0
Tomboy Bessie,5.7
The Tomboy on Bar Z,6.1
The Torn Letter,6.0
Song of Death,4.4
The Totville Eye,4.8
The Tourists,5.5
Le tournoi de l'écharpe d'or,4.0
Tragedy of the Dress Suit,7.1
The Transformation of Mike,6.1
The Three Comrades,5.7
Treasure Island,5.8
The Tribal Law,4.0
Tropisk kærlighed,5.4
The Troubadour's Triumph,6.6
The Troublesome Step-Daughters,5.2
A True Briton,6.4
The Gardener,6.7
Twilight,5.7
Two Daughters of Eve,6.4
"The Vengeance of Durand; or, the Two Portraits",5.2
The Two Rivals,5.6
Den tyranniske fästmannen,5.6
Under Burning Skies,5.8
Undine,6.2
The Vengeance of Edgard Poe,5.0
An Unseen Enemy,5.9
An Unusual Sacrifice,6.4
The Last Bohemian,7.4
Vampyrdanserinden,6.0
The Vandal Outlaws,6.4
The Vengeance of the Fakir,6.6
Verkannt,6.0
The Vicissitudes of a Top Hat,5.9
Victim of Circumstances,5.3
The Victoria Cross,6.8
The Violin of M'sieur,5.7
The Virtue of Rags,5.6
Los viveskis sin contrato,6.8
The Voice of the Millions,7.5
Von Weber's Last Waltz,6.9
War's Havoc,5.0
The Water Nymph,4.8
The Water Rights War,6.4
The Way of the Transgressor,4.2
Wenn die Maske fällt,5.2
Western Girls,6.7
What Happened to Mary,6.1
What Katie Did,3.3
What the Doctor Ordered,3.5
When Joey Was on Time,6.8
When Kings Were the Law,3.3
When the Fire-Bells Rang,7.8
The White Aprons,6.0
White Roses,8.1
The Widow Casey's Return,6.2
The Widow's Second Marriage,5.5
The Winking Parson,6.3
With the Enemy's Help,4.3
Won by a Fish,6.1
The Wood Violet,7.1
Zigomar contre Nick Carter,6.0
Zona de Incursões em Chaves,5.5
Zu Tode gehetzt,5.6
Zu spät,6.8
Zweimal gelebt,5.8
'Arriet's Baby,5.3
'Neath Austral Skies,6.8
...denn alle Schuld rächt sich auf Erden,5.9
The Abandoned Well,6.3
Accident Insurance,5.0
An Accidental Servant,6.1
Across the Continent,4.2
The Actor's Christmas,5.8
The Adopted Brother,6.2
The Secret of Adrianople,6.0
An Adventure in the Autumn Woods,8.3
The Adventure of an Heiress,5.3
The Adventures of Kathlyn,4.0
Alas! Poor Yorick!,7.8
Algy's Awful Auto,6.8
The Alibi,6.3
Alkali Ike and the Hypnotist,6.6
Alkali Ike's Auto,5.5
Alkali Ike's Homecoming,8.0
Alkali Ike's Misfortunes,5.7
Alkali Ike's Mother-in-Law,4.8
Alkali Ike in Jayville,4.6
All on Account of a Portrait,5.0
An Almond-Eyed Maid,5.5
Almost a Wild Man,6.5
Almost an Actress,5.9
Alone in the Jungle,4.6
Altar of the Aztecs,7.3
The Ambassador's Daughter,7.1
The Ambassador's Envoy,6.7
The American Princess,6.1
El amigo del alma,5.8
Ana Kadova,5.3
The Anarchist,8.5
And His Wife Came Back,1.8
Der Andere,5.6
The Angel of Death,4.2
Angel of the Canyons,5.6
The Animal,6.8
Ann,5.7
Annie Laurie,5.0
Another Man's Wife,6.0
An Apache's Gratitude,6.4
The Appeal,6.2
Arizona,7.8
Art and Honor,5.8
The Artist's Dreams,5.9
The Artist's Sacrifice,6.9
The Artist,6.7
The Heir to Skjoldborg,4.4
Ashes,5.2
Ashes of Three,6.2
At Twelve O'Clock,4.8
Atlantis,6.0
On a Lonely Island,6.8
Old Brandis' Eyes,6.4
Australia Calls,5.5
The Auto,5.0
The Autocrat of Flapjack Junction,3.7
The Awakening of a Man,6.6
Baby Day,6.1
Back to Life,6.3
A Bad Game,6.1
Balaoo the Demon Baboon,2.6
The Ball Game,6.0
A Bandit,5.4
Bangville Police,6.2
Barbarous Mexico,6.8
Barcelona bajo la nieve,3.7
Barnet,5.6
Barney Oldfield's Race for a Life,8.1
Barry's Breaking In,7.2
The Bartered Bride,9.3
Baseball,4.6
The Battle for Freedom,6.7
The Battle of Bloody Ford,5.3
The Battle of Gettysburg,5.4
The Battle of Shiloh,8.1
The Battle of Who Run,6.8
The Bawlerout,4.7
Beau Brummel,5.9
Beauty Unadorned,6.1
Behind the Scenes,6.0
El bello Arturo,4.9
The Bells,3.8
Ben Bolt,6.1
Bianco contro negro,4.3
The Big Boss,6.9
The Big Horn Massacre,6.3
Tired Bill's Career as a Butler,3.8
The Black Snake,6.6
Black and White,6.3
Blodets röst,5.3
The Blood Red Tape of Charity,4.8
Blood and Bosh,8.4
Bloodhounds of the North,5.9
The Blue Rose,4.5
The Boatswain's Daughter,7.0
The Boomerang,7.9
Borrowed Gold,6.7
The Bowling Match,6.2
Bragg's New Suit,5.7
The Brand of California,5.8
Bread Cast Upon the Waters,6.3
Bread Upon the Waters,5.3
Bridegrooms Beware,3.6
The Bridge of Shadows,5.6
Broken Nose Bailey,3.6
The Broken Spell,6.1
Broken Ways,5.5
Broncho Billy and the Maid,4.1
Broncho Billy and the Outlaw's Mother,6.5
Broncho Billy and the Squatter's Daughter,5.8
Broncho Billy and the Step-Sisters,7.3
Broncho Billy's Christmas Deed,6.4
Broncho Billy's First Arrest,5.5
Broncho Billy's Gratefulness,4.0
Broncho Billy's Gun Play,5.9
Broncho Billy's Last Deed,5.6
Broncho Billy's Secret,5.0
Broncho Billy's Sister,8.8
Broncho Billy's Squareness,6.1
Broncho Billy's Ward,7.5
Broncho Billy's Way,5.5
A Brother's Loyalty,5.5
Brothers,6.5
The Primitive Man,5.5
Bryant and the Speeches,6.0
Bröderna,6.6
Buch i Trøjen,5.0
Budd Doble Comes Back,5.4
The Burglar Who Robbed Death,6.2
Buried Alive in a Coal Mine,5.6
By Man's Law,6.5
Bøffen og bananen,7.4
The Cabaret Singer,5.6
The Caged Bird,5.6
"Calamity Anne, Detective",7.4
The California Alien Land Law,7.6
A Call from Home,3.7
The Call of the Blood,6.2
A Campaign Manageress,6.6
Le camée,5.5
Caprice,3.8
Captured by Strategy,5.4
Cards,6.9
Carmen,6.4
Castro in New York,5.4
Caught in the Act,6.6
A Cause for Thankfulness,6.3
El Caín moderno,5.8
The Champion,8.3
A Chance Deception,6.5
Checkers,6.7
The Cheese Special,6.1
Chelsea 7750,3.9
The Child of the Sea,4.0
A Child's Influence,6.6
A Chopin Nocturne,6.0
The Claim Jumper,4.4
The Classmate's Frolic,5.2
Coal,7.0
Cohen Saves the Flag,7.5
Cohen's Outing,2.4
College Chums,2.2
Colonel Heeza Liar in Africa,6.0
The Coming of Angelo,6.4
Confidence,5.9
The Conscience of Hassan Bey,5.4
The Convict's Daughter,6.2
Corazón de presidiario,4.4
Corrida de feria de las fiestas del Pilar,4.7
Corrida de toros en Calatayud,5.4
Le corso rouge,4.9
The Count of Monte Cristo,5.8
Counterfeiters,6.2
A Cracksman Santa Claus,5.4
The Cracksman's Reformation,4.8
El crimen del otro,7.0
The Criminal Path,5.4
Criminals,5.5
The Crimson Cross,5.3
The Crisis,7.2
The Crook and the Girl,6.6
Cross Purposes,5.6
The Cubists,5.0
Cupid Through a Keyhole,6.6
Cupid Throws a Brick,5.0
Cupid Versus Women's Rights,6.7
Cupid's Lieutenant,7.1
The Cure That Failed,7.7
Cymbeline,6.5
La dame de Monsoreau,7.0
The Dangling Noose,6.9
The Daughter of the Hills,5.9
A Daughter of the Wilderness,5.2
Days of '49,6.3
De muerte a vida,5.5
The Deacon Outwitted,6.2
Dead Man's Shoes,4.7
The Dean's Daughters,4.7
Dear Old Girl,4.4
Death's Marathon,5.4
The Deerslayer,5.2
Delayed Proposals,6.0
Le dernier pardon,6.5
Desastre do Monoplano Gnome na Amadora,6.4
A Desperate Chance,6.5
The Black Diamond,5.8
The Diamond Crown,6.2
A Dip Into Society,8.1
The Discovery,1.6
Diverging Paths,6.0
The Doctor's Duty,5.4
The Doctor's Photograph,7.1
The Doctor's Secret,6.8
A Doctored Affair,8.5
The Dog House Builders,5.3
I due palombari,6.0
A Double Wedding,4.6
Dr. Jekyll and Mr. Hyde,6.6
The Dress Reform,6.6
Drink's Lure,5.2
The Drummer of the 8th,7.5
The Drummer's Note Book,4.0
The Duke's Dilemma,7.4
During the Round-Up,6.9
East Lynne,7.5
The Echo of a Song,7.0
What 80 Million Women Want,6.2
Die Eisbraut,6.0
The Elder Brother,5.3
An Elephant on His Hands,7.8
The Eleventh Commandment,7.6
"Elise, the Forester's Daughter",7.3
The Elite Ball,5.2
The Enemy's Baby,6.4
The Escape of Jim Dolan,5.2
Esther,7.4
Evangeline,7.8
Evinrude,4.4
Unforeseen Metamorphosis,5.5
Exoneration,5.0
Extremities,6.6
Fabricación del hielo,8.6
A Face from the Past,5.8
The Fatal Taxicab,7.0
False to Their Trust,6.1
Falstaff,6.7
The Family's Honor,6.2
Fanny's Conspiracy,5.4
Fantômas: In the Shadow of the Guillotine,6.2
The Farm Bully,5.7
The Farmer's Daughter,5.4
The Farmer's Daughters,6.0
Fate,5.8
Father's Choice,4.5
Father's Hatband,5.5
Fatty Joins the Force,6.4
Fatty at San Diego,6.8
Fatty's Day Off,5.1
Fatty's Flirtation,6.0
The Favorite Son,5.4
Fellow Voyagers,6.3
Uma Ferra em Salvaterra de Magos,6.8
Fiestas en Palafrugell,7.8
The Fight for Millions,6.0
The Fight for Right,4.4
A Fighting Chance,3.3
The Fighting Lieutenant,6.7
The Film Primadonna,6.8
The Firebugs,2.6
The Fires of Fate,7.2
First Love,6.2
A Fishy Affair,7.0
A Fishy Story,6.1
The Flight of the Crow,7.0
Flood Tide,5.4
Foiling Fickle Father,5.9
For Better or for Worse,6.5
For Lizzie's Sake,6.0
For the Love of Mabel,4.8
A Foreign Spy,7.7
The Foreman of the Jury,5.6
Forgetful Flossie,6.2
The Forgotten Latchkey,7.0
The Fortune Hunters,5.6
The Four Devils,5.9
Frauenleid,5.4
Frazzled Finance,6.9
Les frères ennemis,6.3
Friday the Thirteenth,7.5
From Dusk to Dawn,7.5
La fuerza del destino,6.5
The Fugitive,6.4
Fulano de Tal se enamora de Manón,6.0
The Funny Regiment,4.1
A Gambler's Honor,6.6
A Game of Cards,7.6
A Game of Poker,3.4
A Game of Pool,5.7
The Gangsters,5.8
The Gauntlets of Washington,6.0
Gaynor and the Night Clubs,5.9
The Mysterious Club,7.8
"Germinal; or, The Toll of Labor",5.7
The Girl Reporter,3.8
The Girl and the Outlaw,4.5
The Girl of the Sunny South,7.4
A Girl's Stratagem,6.5
Girls Will Be Boys,6.0
The Glove,4.2
The Golden Wedding,6.3
The Good Indian,5.3
The Governor's Daughter,6.4
Graft,6.9
The Grand Military Parade,5.7
Granddad,7.8
The Gratitude of Wanda,4.1
The Great Gold Robbery,7.5
The Great Physician,7.4
The Greater Influence,5.5
The Green Eye of the Yellow God,5.5
Die große Sünderin,6.6
Brother Against Brother,6.3
The Gunmaker of Moscow,6.4
The Gusher,4.0
The Gypsy Queen,5.5
The Hall-Room Girls,6.5
Hamlet,6.5
The Hand of Providence,6.0
The Hansom Driver,6.3
Hard Cash,7.0
The Harper Mystery,5.5
The Harvest of Flame,6.6
Hasard,5.1
The Hat,6.1
The Hateful God,6.6
He Would Fix Things,5.3
He Would a Hunting Go,5.9
The Heart of a Jewess,6.8
The Heart of a Cracksman,6.4
The Heart of an Artist,5.8
Hearts Entangled,4.9
Hearts and Horses,6.5
Heinze's Resurrection,4.8
Helen's Stratagem,5.0
Help! Help! Hydrophobia!,6.1
Her Husband's Friend,6.4
Her Innocent Marriage,6.5
Her Lady Friend,5.2
Her Mother's Oath,6.0
Her New Beau,5.8
Her Only Son,7.2
Her Right to Happiness,6.2
Her Rosary,4.6
Her Secretaries,8.5
The Hero of Little Italy,6.4
Heroic Harold,6.0
A Heroic Rescue,6.4
"Herrerín y Ballesteros, en Alagón",5.9
Hiawatha,5.8
A Hidden Love,5.8
Hide and Seek,5.2
El hijo del mar,6.1
The Hindoo Charm,6.4
His Aunt Emma,6.0
His Awful Daughter,7.3
His Blind Power,5.2
His Crooked Career,7.4
His Father's Deputy,4.3
His Imaginary Family,7.9
His Last Fight,5.7
His Last Gamble,5.6
His Mother's Son,6.1
His Second Wife,5.0
His Silver Bachelorhood,6.7
His Tired Uncle,5.3
His Ups and Downs,7.7
Dr. Mawson in the Antarctic,7.8
Homlock Shermes,5.4
L'homme qui assassina,6.8
The Honorable Algernon,6.2
Za chest' russkogo znameni,7.1
Hoodman Blind,7.8
The Hopeless Dawn,6.0
A Hopi Legend,5.5
An Hour Before Dawn,5.7
An Hour of Terror,4.8
A House Divided,6.3
The House in the Tree,6.4
The House of Darkness,6.4
The House of Discord,4.3
"How Fine, How Fresh the Roses Were",6.5
How Hiram Won Out,6.6
How It Happened,6.4
How Men Propose,6.5
The Hoyden's Awakening,2.7
Hubby's Job,5.1
Hubby's New Coat,4.3
The Hunchback,4.6
The Hypnotist,7.4
My Husband's Getting Married,6.0
I'm No Counterfeiter,5.9
The Iconoclast,7.1
The Ideal Wife,6.0
The Idler,6.1
If We Only Knew,7.5
The Firefly,5.5
In Convict Garb,6.9
In Love and War,7.3
In a Roman Garden,7.2
In the Bishop's Carriage,5.6
In the Long Ago,6.8
In the Stretch,5.8
"Inauguración del autodromo de Sitges, y carreras",4.3
"Incendio en el barrio de Montemolín, Zaragoza",6.0
An Indian's Loyalty,5.5
The Infamous Don Miguel,6.4
Influence of the Unknown,5.4
Ingeborg Holm,7.2
Die Insel der Seligen,5.3
The Inside of the White Slave Traffic,6.0
An Infernal Tangle,6.9
Into the North,4.6
The Inventor's Sketch,6.5
The Island of Perversity,6.6
It Is Never Too Late to Mend,6.4
Ivanhoe,7.3
Jack London's Adventures in the South Sea Islands,6.4
Jan Vedder's Daughter,5.7
Janet of the Dunes,5.2
The Jealous Waiter,5.9
The Jew's Christmas,4.2
The Jewel Thieves Outwitted,4.4
John Tobin's Sweetheart,4.9
Johnny Reb's Wooden Leg,6.2
Joyce of the North Woods,4.1
Juggling with Fate,5.6
Just Brown's Luck,7.1
Just Gold,5.5
Just Show People,6.6
Fantomas: The Man in Black,7.8
Kathleen Mavourneen,5.3
The Keys to Happiness,7.2
The Kiss,6.9
The Kitchen Mechanic,8.1
Kleiner Svend und seine Mutter,5.8
Knights and Ladies,5.7
Kri Kri e il tango,6.0
Lady Marions sommarflirt,7.8
The Lady and the Mouse,5.8
The Lady in Black,4.3
A Lady of Quality,4.1
The Land Salesman,6.9
A Landlord's Troubles,7.4
Die Landstraße,6.0
The Last Blockhouse,4.5
Laura y sus pretendientes,5.5
The Law and the Outlaw,4.5
The Law of Humanity,7.0
Leah Kleschna,6.2
The Left-Handed Man,6.1
The Legend of Provence,5.6
Léonce cinématographiste,6.6
Leonie,6.9
Let No Man Put Asunder,6.0
A Letter to Uncle Sam,6.2
Lieutenant Jones,4.5
The Life Timer,5.8
A Life in the Balance,7.1
The Lifted Veil,5.8
A Light on Troubled Waters,5.4
The Lightning Bolt,6.8
Lille Klaus og store Klaus,5.0
The Lipton Cup: Introducing Sir Thomas Lipton,5.5
A Little Child Shall Lead Them,4.0
The Little Church Around the Corner,6.7
A Little Hero,6.7
The Little Minister,8.6
The Little Tease,6.5
Livets konflikter,5.3
Lobster Salad and Milk,6.6
Local Color on the A-1 Ranch,3.7
The Long and Short of It,6.2
Longing for a Mother,4.7
Looking for Trouble,2.4
The Lost Millionaire,5.8
Lost in the Night,7.0
The Lotus Dancer,7.1
Love Before Ten,6.9
The Love Chase,6.9
"Love Laughs at Locksmiths; or, Love Finds a Way",6.5
Love Sickness at Sea,4.8
Love and Courage,8.4
Love and Pain,5.5
Love and Rubbish,7.1
Love and the Law,7.0
Love in an Apartment Hotel,6.5
The Love of Penelope,6.2
Love vs. Law,4.0
Love's Sunset,3.0
Lovers Three,7.6
The Lure of New York,6.8
The Lure of the Stage,7.2
La luz que vuelve,6.2
Löjen och tårar,5.4
Love Everlasting,7.4
Mabel's Awful Mistake,5.3
Mabel's Dramatic Career,5.8
Mabel's Heroes,5.6
Mabel's New Hero,5.4
Mabel's Stormy Love Affair,7.8
Macbeth,6.1
Made a Coward,5.8
Mademoiselle 100 millions,6.9
Madonna of the Storm,5.2
The Making of Broncho Billy,6.2
Mala raza,5.7
The Man Next Door,5.4
Man and Woman,8.0
The Man from the Golden West,7.0
Man's Duty,7.4
The Manicure Girl,7.2
Mannekängen,6.4
The Mansion of Misery,6.5
Margarita and the Mission Funds,6.9
"Maria Marten, or: The Murder in the Red Barn",6.0
Maria's Sacrifice,5.9
Los marinos de papel,5.5
Marrying Sue,5.1
The Marshal's Capture,6.4
Mary Stuart,7.0
Mary's Romance,6.4
The Masquerade,6.1
The Matrimonial Agency,5.9
War Is Hell,5.4
Max virtuose,4.7
De medeminaars,8.1
The Powder Flash of Death,7.1
Mental Suicide,6.7
Mercy Merrick,6.2
The Merry Milkmaid,5.5
The Mexican Problem,5.5
Mexican War Pictures,5.5
Mexican War Pictures,6.7
The Midget's Revenge,6.6
A Midsummer Night's Dream,6.8
Mijntje en Trijntje,6.0
Mike and Jake Among the Cannibals,5.2
Mike and Jake at the Beach,7.9
Mike and Jake in Society,5.2
"Mike and Jake in the Wild, Wild West",6.6
Milk,6.8
The Minister's Temptation,6.0
Miraklet: Tavlor ur det katolska samfundslivet,6.2
The Mirror,6.6
A Misappropriated Turkey,5.5
Misplaced Love,7.8
Miss Mischief,6.5
The Missing Bonds,5.7
The Mistake,5.2
The Mistaken Masher,7.0
A Misunderstood Boy,5.4
"Les Misérables, Part 2: Fantine",5.4
El modelo de virtudes,6.9
A Modern Snare,5.0
Den moderna suffragetten,6.2
A Modest Hero,5.8
The Death of Saul,8.4
Fantômas: The Dead Man Who Killed,6.6
The Mosquito,6.0
"Home, Sweet Home",5.9
Mother's Boy,5.3
Mother's Lazy Boy,4.2
The Mothering Heart,3.9
Moths,5.6
The Moulding,5.6
The Mountaineers,5.1
Much Ado About Nothing,6.4
Muchly Engaged,3.9
A Muddle in Horse Thieves,4.5
A Muddy Romance,6.0
Murphy's I.O.U.,5.2
Mutt Puts One Over,6.9
Mutt and Jeff,6.6
Mutt and Jeff,5.0
Mutt and Jeff,6.7
Mutt and Jeff,6.2
Mutt and Jeff,5.8
Mutt and Jeff,5.2
Mutt and Jeff,5.7
Mutt and Jeff,6.8
Mutt and Jeff,5.7
Mutt and Jeff,5.4
Mutt and Jeff,3.7
Mutt and Jeff,6.1
Mutt and Jeff,6.8
Mutt and Jeff,6.0
Mutt and Jeff,6.7
Mutt and Jeff in Constantinople,4.7
Mutt and Jeff at Sea: Part 1,4.7
Mutt and Jeff at Sea: Part 2,3.9
Mutt and Jeff in Mexico,5.8
Mutt and Jeff in Turkey,6.8
Mutt's Marriage,6.6
Mutt's Moneymaking Scheme,5.5
A Mutual Understanding,7.0
The Mystery of West Sedgwick,4.2
The Mystery of Yellow Aster Mine,6.3
The Mystic Mat,4.0
O Naufrágio do Veronese,5.3
Near to Earth,6.0
Nederland en Oranje,6.8
The New Conductor,5.5
The New Typist,6.3
A News Item,5.3
A Night in Town,5.6
No Place for Father,5.0
Christmas Eve,5.2
A Noise from the Deep,7.3
The Noisy Six,7.6
Northern Hearts,7.1
Novillada de beneficencia en Zaragoza,5.8
När kärleken dödar,5.7
O'Hara Helps Cupid,7.6
O'Hara as a Guardian Angel,6.0
"O'Hara, Squatter and Philosopher",6.7
Broncho Billy's Oath,6.3
Oh! You Pearl,6.6
Oh! You Scotch Lassie,6.0
Oil and Water,6.7
"The Girl from Abroad; or, The Great Underworld",5.3
Olaf-an Atom,5.2
An Old Actor,5.6
The Old Armchair,6.8
Old Doc Yak,8.0
Old Doc Yak and the Artist's Dream,5.2
Doc Yak's Christmas,6.2
Old Jim,7.1
An Old Man's Love Story,7.7
The Old Wood Carver,5.8
Omens and Oracles,5.7
On His Wedding Day,5.2
On the Brink of Ruin,7.0
On the Steps of the Throne,5.9
One Hundred Years of Mormonism,1.7
One on Romance,6.6
The Orphan,6.2
Othello in Jonesville,5.0
The Other Woman,8.0
Our Parents-in-Law,5.8
Out and In,6.1
Out of the Grave,6.4
Outwitting Dad,6.7
Overfaldet på poståpnerens datter,3.6
Pa Says,4.0
The Paper Doll,5.5
"Passions, He Had Three",5.5
"Pauline Cushman, the Federal Spy",6.2
Pearl and the Poet,5.5
Pearl and the Tramp,3.7
Pearl as a Clairvoyant,6.3
Pearl as a Detective,6.6
The Pearl of the Golden West,6.0
Pearl's Admirers,6.2
Pearl's Dilemma,4.6
Pearl's Hero,6.2
Pearl's Mistake,5.2
The Peddler,6.7
Peeping Pete,3.9
The Penalties of Reputation,6.3
"The Pendleton, Oregon, Round-Up",6.4
The Perfidy of Mary,3.4
A Perilous Cargo,7.0
Perils of the Sea,6.8
Pesca do Atum no Algarve,5.8
The Phantom Ship,5.2
The Phantom Signal,5.1
Phantoms,1.9
Pickaninni's G-string,6.0
The Picket Guard,5.2
Pickup Is a Sportsman,4.9
The Picture of Dorian Gray,6.5
The Pied Piper of Hamelin,5.9
Pimple's Wonderful Gramophone,5.9
Pirate Gold,5.0
Pleasing Her Husband,6.7
The Poet and the Soldier,5.7
